Namespace(backbone='resnet50', batch_size=32, config='DAAN/DAAN.yaml', data_dir='paddy', device=device(type='cuda'), early_stop=0, epoch_based_training=False, lr=0.01, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=20, n_iter_per_epoch=500, num_workers=3, seed=1, src_domain='source', tgt_domain='target', transfer_loss='daan', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/20], cls_loss: 0.4503, transfer_loss: 0.0370, total_Loss: 0.4873, test_loss 3.000258, test_acc: 39.8176
Epoch: [ 2/20], cls_loss: 0.0170, transfer_loss: 0.0267, total_Loss: 0.0438, test_loss 3.175799, test_acc: 38.9666
Epoch: [ 3/20], cls_loss: 0.0075, transfer_loss: 0.0232, total_Loss: 0.0307, test_loss 3.515851, test_acc: 35.0760
Epoch: [ 4/20], cls_loss: 0.0037, transfer_loss: 0.0213, total_Loss: 0.0250, test_loss 3.250170, test_acc: 37.6292
Epoch: [ 5/20], cls_loss: 0.0030, transfer_loss: 0.0200, total_Loss: 0.0231, test_loss 3.424379, test_acc: 36.8389
Epoch: [ 6/20], cls_loss: 0.0015, transfer_loss: 0.0191, total_Loss: 0.0206, test_loss 3.517323, test_acc: 34.8936
Epoch: [ 7/20], cls_loss: 0.0017, transfer_loss: 0.0183, total_Loss: 0.0200, test_loss 3.323467, test_acc: 36.1094
Epoch: [ 8/20], cls_loss: 0.0017, transfer_loss: 0.0177, total_Loss: 0.0194, test_loss 3.310294, test_acc: 37.0821
Epoch: [ 9/20], cls_loss: 0.0011, transfer_loss: 0.0172, total_Loss: 0.0183, test_loss 3.375443, test_acc: 35.9878
Epoch: [10/20], cls_loss: 0.0015, transfer_loss: 0.0168, total_Loss: 0.0183, test_loss 3.147910, test_acc: 38.0547
Epoch: [11/20], cls_loss: 0.0010, transfer_loss: 0.0164, total_Loss: 0.0174, test_loss 3.208606, test_acc: 37.0821
Epoch: [12/20], cls_loss: 0.0010, transfer_loss: 0.0160, total_Loss: 0.0170, test_loss 3.394758, test_acc: 35.3191
Epoch: [13/20], cls_loss: 0.0009, transfer_loss: 0.0157, total_Loss: 0.0165, test_loss 3.129987, test_acc: 35.8663
Epoch: [14/20], cls_loss: 0.0010, transfer_loss: 0.0154, total_Loss: 0.0164, test_loss 3.323223, test_acc: 35.3799
Epoch: [15/20], cls_loss: 0.0011, transfer_loss: 0.0151, total_Loss: 0.0162, test_loss 3.206534, test_acc: 36.4134
Epoch: [16/20], cls_loss: 0.0009, transfer_loss: 0.0149, total_Loss: 0.0158, test_loss 3.161682, test_acc: 35.9878
Epoch: [17/20], cls_loss: 0.0010, transfer_loss: 0.0148, total_Loss: 0.0158, test_loss 3.163654, test_acc: 35.8055
Epoch: [18/20], cls_loss: 0.0012, transfer_loss: 0.0146, total_Loss: 0.0158, test_loss 3.163774, test_acc: 35.9878
Epoch: [19/20], cls_loss: 0.0008, transfer_loss: 0.0143, total_Loss: 0.0152, test_loss 3.224373, test_acc: 35.6231
Epoch: [20/20], cls_loss: 0.0010, transfer_loss: 0.0143, total_Loss: 0.0153, test_loss 3.259827, test_acc: 34.8328
Transfer result: 39.8176
